,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
79,valproic acid,15 day,Low,709.0,14.7,41.6,58.7,20.7,35.3,4.5,112.5,104.6,11.0,1.0,0.0,3.0,85.0,12.3,18.4,239.0,1162.0,73.0,131.0,150.0,0.16,0.1,232.0,17.0,0.4,143.0,3.9,106.0,10.3,7.8,5.7,3.1,1.2,68.0,34.0,217.0,1.0
80,penicillamine,15 day,Middle,789.0,15.6,46.0,58.3,19.8,34.0,4.6,104.8,117.0,11.0,1.0,0.0,2.0,86.0,14.4,17.7,306.0,1454.0,81.0,141.0,172.0,0.03,0.01,173.0,17.0,0.2,141.0,3.9,104.0,10.6,7.0,6.0,2.7,0.8,69.0,46.0,50.0,1.0
81,clofibrate,8 day,Low,615.0,13.6,38.5,62.6,22.1,35.3,4.3,106.9,117.3,8.0,0.0,0.0,2.0,89.0,11.7,19.6,218.0,824.0,69.0,170.0,147.0,0.16,0.1,215.0,15.0,0.4,142.0,3.6,104.0,10.7,7.8,5.7,3.7,1.9,62.0,28.0,223.0,1.0
82,ethinylestradiol,29 day,Middle,696.0,12.7,35.9,51.6,18.3,35.4,2.3,112.7,75.9,12.0,1.0,0.0,2.0,84.0,13.9,19.9,251.0,1605.0,27.0,26.0,75.0,0.18,0.09,169.0,15.0,0.3,142.0,3.9,103.0,10.5,5.8,6.5,3.0,0.9,52.0,43.0,36.0,12.0
83,doxorubicin,15 day,High,543.0,11.8,31.5,58.0,21.7,37.4,0.1,30.3,13.1,34.0,0.0,0.0,1.0,64.0,15.3,25.4,356.0,532.0,93.0,57.0,159.0,0.03,0.0,195.0,13.0,0.2,141.0,4.2,106.0,10.7,7.6,5.6,2.9,1.1,62.0,21.0,175.0,2.0
84,ethionamide,15 day,High,761.0,16.0,46.4,61.0,21.1,34.5,3.6,72.8,225.0,45.0,1.0,0.0,4.0,50.0,14.1,17.1,284.0,934.0,50.0,13.0,83.0,0.24,0.12,174.0,21.0,0.6,139.0,4.2,103.0,10.6,6.7,6.3,4.0,1.7,96.0,80.0,75.0,7.0
85,imipramine,15 day,Low,677.0,13.9,41.1,60.7,20.5,33.8,4.9,108.6,77.4,21.0,1.0,0.0,3.0,75.0,15.9,15.7,270.0,1249.0,77.0,139.0,149.0,0.05,0.02,165.0,12.0,0.2,144.0,4.0,105.0,10.8,7.0,6.1,2.7,0.8,73.0,47.0,61.0,1.0
86,chlorpromazine,15 day,Low,660.0,13.8,41.8,63.3,20.9,33.0,3.9,92.4,187.0,13.0,0.0,0.0,6.0,81.0,11.6,16.9,227.0,723.0,80.0,157.0,165.0,0.24,0.0,179.0,18.0,0.7,140.0,4.2,107.0,10.8,7.0,6.2,4.0,1.8,72.0,30.0,71.0,1.0
87,disopyramide,15 day,Low,701.0,13.7,42.3,60.3,19.5,32.4,4.4,92.3,130.6,14.0,1.0,0.0,2.0,82.0,15.6,24.5,299.0,1159.0,72.0,149.0,140.0,0.02,0.0,200.0,18.0,0.2,143.0,4.0,105.0,10.5,7.3,5.9,3.3,1.3,76.0,46.0,136.0,2.0
88,"2,4-dinitrophenol",29 day,Middle,760.0,14.8,43.8,57.6,19.5,33.8,2.0,124.0,104.0,7.0,1.0,0.0,3.0,89.0,11.9,16.9,296.0,840.0,76.0,235.0,156.0,0.02,0.02,170.0,20.0,0.6,142.0,4.4,104.0,11.9,7.2,6.5,4.2,1.8,62.0,34.0,189.0,0.0
89,ranitidine,8 day,Low,652.0,13.9,39.7,60.8,21.3,35.0,4.9,130.1,118.5,11.0,1.0,0.0,3.0,84.0,12.4,21.0,253.0,820.0,61.0,210.0,156.0,0.16,0.12,258.0,17.0,0.5,139.0,3.7,103.0,10.7,8.9,5.6,3.5,1.7,70.0,33.0,204.0,2.0
90,metformin,8 day,High,639.0,13.1,39.1,61.3,20.6,33.6,6.5,122.8,160.3,13.0,1.0,1.0,3.0,83.0,12.0,16.1,241.0,1275.0,72.0,146.0,146.0,0.02,0.02,209.0,16.0,0.2,140.0,3.8,105.0,10.6,7.6,5.5,2.6,0.9,69.0,33.0,47.0,1.0
91,methyldopa,29 day,High,748.0,15.4,45.5,60.8,20.6,33.8,2.0,93.1,45.5,27.0,1.0,0.0,1.0,71.0,14.7,17.8,267.0,1395.0,63.0,10.0,112.0,0.07,0.01,131.0,13.0,0.2,148.0,5.2,104.0,11.0,8.4,6.2,2.7,0.8,65.0,38.0,45.0,1.0
92,promethazine,8 day,High,682.0,13.3,41.1,60.2,19.4,32.3,6.1,124.3,98.4,16.0,1.0,0.0,2.0,80.0,16.6,22.3,284.0,1439.0,72.0,129.0,148.0,0.01,0.02,183.0,16.0,0.2,142.0,4.4,105.0,10.7,7.6,5.5,3.0,1.2,69.0,48.0,121.0,2.0
93,phenobarbital,29 day,Middle,776.0,15.0,44.4,57.2,19.3,33.7,2.9,107.5,208.0,8.0,1.0,0.0,7.0,84.0,12.2,18.9,212.0,429.0,95.0,81.0,167.0,0.43,0.03,172.0,19.0,0.5,139.0,4.7,107.0,10.5,8.3,6.6,3.9,1.4,52.0,30.0,68.0,5.0
94,imipramine,29 day,Low,764.0,14.9,43.6,57.1,19.5,34.1,2.2,95.9,84.2,12.0,1.0,0.0,2.0,84.0,16.9,17.0,233.0,1167.0,61.0,128.0,132.0,0.05,0.01,178.0,15.0,0.2,145.0,3.9,105.0,10.8,6.8,6.1,2.7,0.8,57.0,37.0,43.0,1.0
95,clomipramine,29 day,Middle,766.0,15.3,43.5,56.7,20.0,35.2,1.7,79.7,159.8,28.0,1.0,0.0,3.0,68.0,13.9,17.7,250.0,1219.0,69.0,139.0,146.0,0.05,0.04,208.0,16.0,0.2,141.0,3.7,102.0,10.8,6.1,6.4,2.7,0.7,62.0,34.0,76.0,1.0
96,nifedipine,8 day,Low,682.0,13.9,42.4,62.2,20.4,32.8,5.3,127.2,83.0,14.0,1.0,0.0,2.0,82.0,13.4,16.5,247.0,1647.0,89.0,92.0,152.0,0.02,0.01,182.0,21.0,0.2,145.0,4.2,107.0,10.5,7.5,6.1,2.8,0.8,67.0,47.0,81.0,1.0
97,chlorpheniramine,8 day,Middle,685.0,14.3,43.3,63.3,20.9,33.0,5.2,99.6,91.4,27.0,1.0,0.0,2.0,69.0,14.7,35.8,307.0,1566.0,76.0,90.0,154.0,0.04,0.01,196.0,17.0,0.2,145.0,4.0,106.0,11.8,8.4,5.9,2.6,0.8,64.0,39.0,103.0,1.0
98,acetazolamide,29 day,High,754.0,14.5,42.7,56.6,19.2,33.9,3.9,83.5,93.2,16.0,1.0,0.0,4.0,79.0,17.1,24.6,293.0,1132.0,77.0,110.0,138.0,0.01,0.0,182.0,19.0,0.2,143.0,3.4,110.0,10.1,5.7,5.6,3.2,1.3,71.0,42.0,113.0,2.0
99,methapyrilene,15 day,Middle,731.0,14.9,43.4,59.3,20.3,34.3,2.8,83.6,97.2,14.0,1.0,0.0,2.0,83.0,16.0,21.0,332.0,1618.0,72.0,85.0,137.0,0.02,0.0,157.0,18.0,0.2,143.0,4.1,108.0,10.5,6.4,5.7,3.0,1.1,114.0,64.0,197.0,3.0
100,ethionine,29 day,Middle,733.0,14.9,42.2,57.5,20.3,35.3,2.1,125.6,95.8,22.0,0.0,0.0,2.0,75.0,14.9,24.6,195.0,789.0,50.0,136.0,124.0,0.15,0.11,172.0,18.0,0.5,143.0,3.9,106.0,10.5,6.0,6.2,3.8,1.6,52.0,30.0,217.0,1.0
101,cephalothin,29 day,Low,774.0,14.4,39.2,50.6,18.6,36.8,2.5,106.2,84.9,8.0,2.0,0.0,3.0,87.0,15.6,27.3,294.0,891.0,77.0,127.0,144.0,0.01,0.0,171.0,15.0,0.2,143.0,4.1,105.0,10.4,5.7,5.9,2.9,1.0,52.0,28.0,149.0,1.0
102,monocrotaline,29 day,Middle,823.0,15.4,43.2,52.5,18.8,35.7,4.0,92.5,373.1,15.0,1.0,0.0,5.0,78.0,15.7,23.1,286.0,1486.0,89.0,35.0,164.0,0.14,0.07,174.0,17.0,0.3,141.0,4.7,107.0,11.3,5.9,6.5,3.1,0.9,227.0,113.0,414.0,2.0
103,nitrofurantoin,8 day,Middle,629.0,13.4,37.6,59.8,21.3,35.6,4.6,125.0,67.4,15.0,1.0,0.0,2.0,82.0,12.6,17.3,219.0,879.0,79.0,115.0,161.0,0.16,0.11,205.0,20.0,0.4,141.0,4.5,104.0,10.4,6.2,5.7,3.2,1.3,55.0,25.0,225.0,1.0
104,lomustine,8 day,High,688.0,14.0,42.8,62.2,20.3,32.7,3.3,117.9,88.5,6.0,0.0,0.0,5.0,88.0,11.8,15.1,231.0,563.0,78.0,81.0,144.0,0.34,0.0,181.0,15.0,0.5,139.0,4.3,106.0,11.1,8.5,5.9,3.8,1.8,75.0,33.0,170.0,2.0
105,fluoxetine hydrochloride,29 day,Low,771.0,15.1,45.9,59.6,19.5,32.8,4.3,126.0,103.0,11.0,1.0,0.0,4.0,84.0,12.6,16.1,245.0,873.0,63.0,255.0,148.0,0.03,0.02,188.0,21.0,0.5,138.0,5.0,107.0,10.8,5.9,6.1,4.1,2.05,60.0,30.0,97.0,1.0
106,chlorpheniramine,29 day,Middle,837.0,15.9,47.1,56.2,19.0,33.8,2.1,90.7,74.2,9.0,1.0,0.0,2.0,88.0,15.1,18.1,249.0,1775.0,76.0,77.0,139.0,0.04,0.01,177.0,17.0,0.2,143.0,4.0,106.0,10.4,7.0,6.0,2.7,0.8,56.0,35.0,66.0,1.0
107,nitrofurantoin,29 day,Low,787.0,14.7,43.0,54.6,18.7,34.3,3.3,89.9,146.9,13.0,0.0,0.0,2.0,84.0,12.3,18.8,245.0,1211.0,53.0,143.0,137.0,0.18,0.13,258.0,20.0,0.5,137.0,3.7,98.0,10.6,6.9,6.1,3.3,1.2,57.0,35.0,143.0,1.0
108,nifedipine,8 day,Low,663.0,13.9,42.4,63.9,20.9,32.8,6.9,110.1,110.2,26.0,1.0,0.0,3.0,70.0,13.5,16.3,301.0,1340.0,94.0,117.0,167.0,0.03,0.01,188.0,15.0,0.2,143.0,3.8,106.0,10.7,6.4,5.8,2.7,0.9,65.0,56.0,71.0,1.0
109,methylene dianiline,8 day,Middle,684.0,13.9,39.9,58.3,20.3,34.8,4.3,144.4,110.4,24.0,1.0,0.0,3.0,71.0,12.0,16.3,268.0,1283.0,71.0,106.0,128.0,0.06,0.02,182.0,17.0,0.2,142.0,4.3,107.0,10.9,7.4,6.0,2.8,0.9,60.0,34.0,97.0,1.0
110,carbon tetrachloride,29 day,High,804.0,14.5,42.8,53.3,18.0,33.7,2.3,96.4,141.2,13.0,1.0,0.0,3.0,83.0,14.1,39.6,199.0,1089.0,40.0,56.0,116.0,0.14,0.09,187.0,23.0,0.5,143.0,4.0,104.0,10.8,5.7,6.0,3.6,1.5,210.0,158.0,338.0,1.0
111,propylthiouracil,8 day,Middle,640.0,13.9,41.3,64.5,21.8,33.7,2.8,112.2,120.0,5.0,1.0,0.0,7.0,87.0,13.0,16.0,254.0,586.0,97.0,52.0,152.0,0.33,0.04,175.0,20.0,0.6,142.0,4.8,110.0,11.5,6.4,6.5,4.1,1.7,50.0,27.0,71.0,1.0
112,WY-14643,15 day,Low,714.0,14.6,41.4,58.1,20.5,35.3,3.8,112.8,89.0,16.0,1.0,0.0,4.0,77.0,12.8,18.9,234.0,1638.0,57.0,32.0,130.0,0.04,0.02,207.0,16.0,0.2,143.0,3.8,104.0,10.3,7.6,5.9,2.8,0.9,66.0,47.0,93.0,1.0
113,naproxen,29 day,Low,767.0,14.9,44.6,58.1,19.4,33.5,3.2,112.8,90.9,14.0,1.0,0.0,1.0,83.0,16.0,27.6,282.0,1120.0,64.0,91.0,121.0,0.02,0.0,227.0,22.0,0.2,143.0,3.8,107.0,10.2,6.3,5.8,3.2,1.2,59.0,32.0,107.0,2.0
114,ticlopidine,15 day,Low,609.0,13.1,36.6,60.0,21.5,35.8,5.3,117.7,131.5,16.0,0.0,1.0,3.0,80.0,11.7,23.9,204.0,735.0,87.0,129.0,159.0,0.09,0.05,239.0,17.0,0.5,143.0,4.2,104.0,10.5,7.2,5.4,3.1,1.3,81.0,43.0,250.0,1.0
115,acetaminophen,8 day,Low,627.0,14.0,41.6,66.4,22.3,33.7,7.3,120.2,34.9,11.0,1.0,0.0,6.0,82.0,11.6,15.8,257.0,1035.0,67.0,101.0,178.0,0.19,0.01,215.0,17.0,0.3,143.0,5.5,103.0,11.0,10.1,5.9,3.7,1.7,58.0,33.0,86.0,1.0
116,propylthiouracil,29 day,High,756.0,15.3,45.1,59.6,20.2,33.9,0.6,74.4,62.2,16.0,0.0,0.0,6.0,78.0,14.7,15.8,178.0,350.0,92.0,25.0,141.0,0.17,0.07,162.0,29.0,0.7,146.0,3.9,105.0,11.2,6.6,6.7,4.3,1.8,58.0,37.0,158.0,3.0
117,thioacetamide,8 day,Low,666.0,14.1,42.1,63.2,21.2,33.6,5.5,121.6,218.0,7.0,0.0,0.0,3.0,89.0,12.4,16.7,223.0,663.0,65.0,205.0,145.0,0.29,0.0,183.0,18.0,0.5,136.0,5.1,106.0,10.5,7.8,6.0,3.9,1.9,57.0,33.0,87.0,3.0
118,phenacetin,8 day,Middle,676.0,13.0,39.0,57.7,19.2,33.3,6.3,115.7,89.1,31.0,1.0,0.0,4.0,64.0,13.0,18.5,331.0,1520.0,83.0,141.0,183.0,0.05,0.0,169.0,11.0,0.2,143.0,4.3,103.0,11.3,7.4,5.9,2.7,0.8,61.0,32.0,86.0,1.0
119,hexachlorobenzene,8 day,High,663.0,14.2,44.2,66.6,21.4,32.1,6.8,114.0,98.3,20.0,1.0,0.0,10.0,69.0,11.4,17.0,245.0,517.0,126.0,176.0,216.0,0.3,0.0,176.0,15.0,0.7,139.0,4.5,105.0,10.9,8.3,6.2,4.3,2.3,59.0,35.0,198.0,2.0
120,chlorpromazine,29 day,Low,791.0,15.2,45.4,57.4,19.2,33.5,2.1,109.4,140.0,17.0,1.0,0.0,6.0,76.0,11.8,17.8,210.0,556.0,73.0,179.0,149.0,0.3,0.0,193.0,21.0,0.7,139.0,4.3,105.0,9.7,5.5,6.3,4.1,1.9,40.0,33.0,79.0,1.0
121,phenacetin,8 day,Low,699.0,14.1,41.9,60.0,20.2,33.6,5.2,112.9,86.5,14.0,1.0,0.0,1.0,83.0,12.9,18.3,303.0,1376.0,78.0,207.0,179.0,0.05,0.01,177.0,17.0,0.2,142.0,4.3,104.0,11.2,6.3,6.1,2.8,0.8,62.0,34.0,67.0,1.0
122,methyltestosterone,8 day,Middle,722.0,15.3,45.5,62.9,21.2,33.7,5.0,116.3,64.9,20.0,1.0,0.0,2.0,77.0,13.8,16.6,303.0,2775.0,36.0,228.0,112.0,0.03,0.03,210.0,17.0,0.2,145.0,4.2,106.0,11.2,8.8,6.1,2.9,0.9,70.0,47.0,135.0,1.0
123,chlormezanone,15 day,Low,694.0,14.4,41.5,59.8,20.7,34.6,3.8,124.8,58.4,9.0,0.0,0.0,2.0,88.0,11.6,16.7,295.0,1250.0,75.0,50.0,123.0,0.05,0.0,179.0,12.0,0.2,144.0,4.1,107.0,10.8,7.2,5.9,2.8,0.9,58.0,30.0,55.0,1.0
124,bromoethylamine,15 day,High,699.0,14.2,40.9,58.5,20.3,34.7,2.4,141.9,61.9,8.0,0.0,0.0,2.0,88.0,15.8,30.0,330.0,1799.0,74.0,124.0,154.0,0.01,0.0,184.0,26.0,0.2,146.0,4.1,111.0,11.3,6.2,6.0,3.2,1.1,45.0,32.0,147.0,3.0
125,doxorubicin,29 day,High,233.0,4.4,11.2,48.2,18.7,38.7,0.3,209.9,80.7,67.0,0.0,0.0,11.0,12.0,15.6,14.9,869.0,422.0,275.0,383.0,405.0,0.0,0.0,198.0,45.0,0.3,142.0,3.9,111.0,8.5,5.8,4.6,1.4,0.4,39.0,38.0,228.0,25.0
126,aspirin,29 day,Middle,754.0,15.1,43.3,57.5,20.0,34.9,2.6,107.0,89.9,17.0,2.0,0.0,3.0,76.0,12.4,20.5,221.0,672.0,69.0,120.0,146.0,0.16,0.1,222.0,15.0,0.5,144.0,3.7,103.0,10.4,7.2,5.9,3.4,1.4,76.0,32.0,170.0,0.0
127,ethambutol,8 day,Low,623.0,13.6,39.7,63.7,21.8,34.3,5.9,129.4,92.9,13.0,1.0,0.0,2.0,83.0,15.6,22.9,310.0,1349.0,73.0,76.0,130.0,0.01,0.0,176.0,18.0,0.2,142.0,4.2,104.0,10.5,8.0,6.0,3.2,1.2,67.0,50.0,127.0,2.0
128,azathioprine,8 day,Middle,614.0,13.6,38.7,63.1,22.1,35.1,6.6,140.6,99.5,16.0,1.0,0.0,2.0,79.0,15.3,24.3,335.0,1447.0,97.0,122.0,170.0,0.0,0.0,195.0,18.0,0.2,143.0,4.1,106.0,10.7,6.9,5.9,3.1,1.1,77.0,39.0,192.0,1.0
129,thioridazine,29 day,High,854.0,16.1,47.9,56.0,18.9,33.7,1.8,63.1,107.0,12.0,1.0,0.0,5.0,83.0,12.6,19.0,219.0,692.0,73.0,165.0,170.0,0.11,0.0,175.0,19.0,0.6,141.0,3.9,107.0,10.2,6.7,6.3,4.2,2.0,53.0,38.0,101.0,1.0
130,perhexiline,15 day,High,668.0,13.8,40.1,60.0,20.6,34.4,5.2,111.3,133.5,25.0,0.0,0.0,2.0,72.0,16.1,22.5,301.0,1657.0,73.0,169.0,159.0,0.0,0.0,196.0,19.0,0.2,143.0,4.6,107.0,10.7,6.8,5.7,3.0,1.2,73.0,46.0,226.0,1.0
131,indomethacin,15 day,Low,717.0,14.3,42.6,59.4,19.9,33.6,5.2,122.6,124.0,9.0,0.0,0.0,5.0,85.0,11.3,16.6,236.0,676.0,78.0,156.0,162.0,0.23,0.0,205.0,20.0,0.5,139.0,4.9,106.0,10.6,8.3,6.5,4.0,1.6,60.0,34.0,87.0,1.0
132,tacrine,8 day,High,677.0,14.2,40.4,59.6,20.9,35.1,4.7,135.9,88.8,18.0,1.0,0.0,4.0,77.0,15.8,22.6,317.0,837.0,73.0,114.0,145.0,0.01,0.01,181.0,16.0,0.2,142.0,4.5,106.0,10.7,9.1,5.5,2.9,1.1,87.0,53.0,302.0,1.0
133,ketoconazole,8 day,Middle,600.0,12.9,38.3,63.8,21.6,33.8,6.5,112.9,97.4,24.0,1.0,0.0,2.0,72.0,15.8,21.3,314.0,1503.0,82.0,186.0,168.0,0.0,0.0,185.0,20.0,0.1,141.0,4.4,105.0,10.7,7.7,5.8,3.2,1.2,71.0,45.0,192.0,2.0
134,caffeine,15 day,Middle,709.0,14.3,42.0,59.2,20.2,34.1,4.1,118.0,88.4,26.0,1.0,0.0,2.0,71.0,15.1,23.6,313.0,1147.0,81.0,104.0,164.0,0.0,0.0,211.0,17.0,0.2,143.0,4.0,106.0,10.4,7.6,6.0,3.1,1.1,69.0,49.0,140.0,2.0
135,chlorpromazine,8 day,Low,653.0,14.4,43.2,66.2,22.1,33.3,6.9,103.5,128.0,12.0,1.0,0.0,10.0,77.0,11.6,17.5,206.0,1323.0,89.0,99.0,160.0,0.39,0.0,182.0,19.0,0.7,140.0,4.4,106.0,11.6,6.9,6.1,4.0,1.9,64.0,27.0,102.0,2.0
136,sulfasalazine,29 day,High,752.0,14.6,41.8,55.5,19.4,34.9,5.8,111.4,64.6,22.0,1.0,0.0,3.0,73.0,13.0,19.9,219.0,574.0,74.0,25.0,130.0,0.14,0.07,195.0,22.0,0.5,144.0,3.5,103.0,10.9,5.8,6.3,3.9,1.6,58.0,46.0,101.0,1.0
137,triamterene,29 day,Middle,813.0,15.6,45.5,55.9,19.2,34.3,2.6,124.7,123.4,20.0,1.0,1.0,2.0,75.0,13.8,19.1,272.0,1129.0,65.0,130.0,135.0,0.06,0.01,174.0,17.0,0.2,144.0,4.0,104.0,10.5,6.8,6.4,2.8,0.8,66.0,40.0,53.0,1.0
138,labetalol,15 day,Low,666.0,14.4,40.9,61.4,21.7,35.2,4.9,131.4,105.6,18.0,1.0,0.0,2.0,79.0,13.2,20.0,285.0,950.0,72.0,90.0,154.0,0.03,0.01,194.0,16.0,0.2,145.0,3.9,105.0,11.0,8.0,6.2,2.8,0.8,72.0,40.0,56.0,1.0
139,nitrofurantoin,8 day,Middle,615.0,13.5,38.0,61.8,22.0,35.6,5.4,138.9,118.2,10.0,1.0,0.0,2.0,87.0,12.9,18.9,214.0,796.0,70.0,97.0,135.0,0.15,0.1,189.0,15.0,0.3,141.0,4.1,103.0,10.8,7.0,5.6,3.1,1.2,57.0,28.0,111.0,1.0
140,perhexiline,29 day,High,634.0,13.6,40.1,63.2,21.4,33.9,5.2,112.7,114.5,12.0,0.0,0.0,1.0,85.0,15.0,23.5,284.0,1071.0,69.0,152.0,159.0,0.01,0.0,246.0,20.0,0.2,144.0,3.6,106.0,10.1,7.5,6.0,3.1,1.0,72.0,52.0,184.0,1.0
141,promethazine,29 day,Middle,755.0,14.8,43.0,57.0,19.6,34.4,3.1,86.0,101.8,21.0,1.0,0.0,2.0,75.0,16.4,26.6,268.0,919.0,78.0,138.0,161.0,0.02,0.0,186.0,19.0,0.2,143.0,3.8,103.0,10.4,6.5,5.8,3.2,1.2,81.0,50.0,161.0,2.0
142,lomustine,8 day,Middle,690.0,14.6,44.4,64.3,21.2,33.0,5.2,100.4,71.4,15.0,1.0,0.0,10.0,74.0,11.7,14.7,229.0,1191.0,70.0,116.0,149.0,0.39,0.03,179.0,19.0,0.4,139.0,4.7,108.0,11.4,8.4,5.8,3.8,1.9,75.0,44.0,85.0,2.0
143,theophylline,8 day,Middle,657.0,13.8,40.3,61.3,21.0,34.3,4.5,89.8,110.7,6.0,0.0,0.0,2.0,89.0,15.4,23.4,295.0,1406.0,69.0,61.0,133.0,0.01,0.0,198.0,21.0,0.2,144.0,4.2,110.0,10.3,6.8,5.5,3.1,1.3,85.0,42.0,234.0,1.0
144,carbon tetrachloride,15 day,High,714.0,14.3,42.5,59.5,20.1,33.8,4.0,89.9,80.9,14.0,1.0,0.0,3.0,82.0,13.1,29.5,158.0,1138.0,62.0,22.0,123.0,0.14,0.06,187.0,13.0,0.4,141.0,3.9,104.0,10.2,7.1,5.5,3.5,1.8,260.0,179.0,373.0,2.0
145,chlormadinone,15 day,Low,769.0,14.6,42.9,55.8,19.0,34.0,3.6,110.2,94.3,10.0,1.0,0.0,2.0,86.0,14.8,28.5,323.0,1161.0,85.0,203.0,171.0,0.0,0.0,180.0,18.0,0.2,142.0,4.2,105.0,10.3,7.7,6.0,3.2,1.2,71.0,52.0,151.0,2.0
146,fluphenazine,15 day,Low,659.0,14.2,42.1,63.8,21.5,33.7,3.4,93.4,115.0,9.0,0.0,0.0,3.0,88.0,12.1,17.8,218.0,746.0,69.0,74.0,139.0,0.18,0.0,179.0,19.0,0.6,136.0,4.1,104.0,10.9,7.7,6.0,4.1,2.2,67.0,29.0,112.0,1.0
147,mexiletine,29 day,Middle,799.0,16.2,46.6,58.3,20.2,34.7,3.0,95.2,83.0,25.0,2.0,0.0,3.0,70.0,15.3,23.1,324.0,1024.0,68.0,86.0,136.0,0.01,0.0,198.0,17.0,0.2,143.0,4.1,107.0,10.0,5.6,5.9,3.0,1.0,80.0,50.0,129.0,2.0
148,penicillamine,8 day,Middle,699.0,14.0,42.5,60.7,20.0,32.9,5.8,110.9,90.7,20.0,2.0,0.0,5.0,72.0,13.9,16.6,327.0,1428.0,86.0,131.0,172.0,0.03,0.01,180.0,15.0,0.2,140.0,4.4,103.0,10.7,6.1,5.7,2.6,0.8,64.0,42.0,86.0,1.0
149,methyltestosterone,29 day,Low,782.0,15.9,44.9,57.5,20.4,35.4,2.5,102.4,75.6,13.0,2.0,0.0,3.0,83.0,13.5,17.9,278.0,1380.0,56.0,283.0,150.0,0.02,0.02,211.0,19.0,0.2,145.0,4.1,106.0,11.0,6.9,6.4,2.9,0.8,61.0,43.0,114.0,1.0
150,bromobenzene,29 day,Middle,724.0,13.9,40.0,55.2,19.2,34.8,2.8,113.4,141.9,32.0,1.0,0.0,4.0,62.0,13.2,17.2,308.0,1368.0,84.0,73.0,156.0,0.04,0.01,209.0,19.0,0.3,144.0,3.6,106.0,10.6,6.2,6.5,2.9,0.8,58.0,40.0,172.0,1.0
151,mefenamic acid,8 day,Middle,628.0,14.1,39.1,62.3,22.5,36.1,6.4,117.6,115.8,13.0,1.0,0.0,2.0,81.0,11.6,19.8,234.0,771.0,87.0,91.0,156.0,0.15,0.08,217.0,16.0,0.4,141.0,3.7,103.0,10.8,8.0,5.7,3.4,1.5,75.0,32.0,174.0,1.0
152,papaverine,29 day,Middle,757.0,14.2,42.9,56.7,18.8,33.1,3.0,94.9,69.6,18.0,1.0,0.0,4.0,75.0,15.6,25.1,365.0,774.0,58.0,126.0,115.0,0.02,0.0,204.0,18.0,0.2,142.0,3.8,106.0,9.8,6.2,5.8,3.0,1.1,72.0,39.0,121.0,2.0
153,nimesulide,8 day,High,536.0,11.8,35.1,65.4,22.0,33.6,17.3,141.7,137.0,43.0,2.0,0.0,15.0,41.0,11.0,19.3,308.0,939.0,87.0,56.0,166.0,0.41,0.03,195.0,19.0,0.5,141.0,4.2,105.0,10.8,5.6,5.8,3.9,2.1,60.0,29.0,59.0,2.0
154,chlormezanone,15 day,Middle,654.0,14.0,40.4,61.9,21.4,34.6,4.1,131.8,167.8,14.0,1.0,0.0,2.0,83.0,11.6,27.9,308.0,1310.0,74.0,46.0,133.0,0.05,0.0,181.0,20.0,0.2,142.0,4.4,107.0,11.6,7.0,6.4,2.9,0.8,66.0,57.0,58.0,1.0
155,bendazac,29 day,High,802.0,15.0,43.8,54.6,18.7,34.2,2.8,121.6,129.0,7.0,1.0,0.0,9.0,84.0,12.6,21.4,216.0,773.0,59.0,80.0,124.0,0.56,0.04,186.0,18.0,0.5,140.0,4.1,103.0,9.9,5.5,6.1,3.8,1.7,54.0,29.0,78.0,1.0
156,benziodarone,29 day,High,774.0,14.9,44.0,56.9,19.2,33.7,2.5,109.7,126.0,15.0,2.0,0.0,6.0,77.0,12.4,20.7,222.0,658.0,69.0,41.0,138.0,0.29,0.0,213.0,20.0,0.7,140.0,4.0,107.0,10.4,6.0,5.9,3.9,2.0,64.0,41.0,92.0,2.0
157,tamoxifen,29 day,Low,782.0,15.7,44.2,56.5,20.0,35.4,1.4,112.2,61.3,10.0,1.0,0.0,1.0,88.0,12.4,19.4,325.0,1829.0,36.0,127.0,94.0,0.02,0.01,179.0,18.0,0.3,146.0,4.2,107.0,10.9,5.5,6.3,2.8,0.8,64.0,39.0,52.0,1.0
158,labetalol,8 day,Low,642.0,14.1,40.1,62.5,22.0,35.2,5.5,124.6,69.1,18.0,1.0,0.0,4.0,76.0,12.7,18.3,321.0,1629.0,106.0,142.0,173.0,0.03,0.02,200.0,13.0,0.2,143.0,3.4,104.0,10.8,7.8,6.0,2.8,0.9,65.0,36.0,61.0,1.0
159,captopril,15 day,Low,660.0,13.5,40.1,60.7,20.4,33.6,4.4,108.4,71.6,21.0,1.0,0.0,10.0,67.0,11.5,16.8,221.0,1096.0,79.0,75.0,159.0,0.3,0.0,192.0,21.0,0.6,138.0,4.9,107.0,10.6,7.5,6.3,4.1,1.9,66.0,36.0,65.0,2.0
